codarea,lat,long
1200054,-70.00719739652197,-10.779544723925552
1200104,-69.20564298568299,-10.747683300582244
1200138,-68.17461169536436,-9.61355127621195
1200179,-67.83555593949436,-10.473256340476844
1200203,-72.75452879506072,-7.971934967965583
1200252,-68.61637095062213,-10.89139884891499
1200302,-70.74507310835138,-8.924526220452856
1200328,-71.90664533118562,-9.2430935718094
1200336,-73.43861623925709,-7.504402386596739
1200344,-69.85413120506402,-9.381652919140603
1200351,-72.5597729049274,-9.096749073588688
1200385,-67.33915445053677,-10.249086512206544
1200393,-72.73369162704289,-8.492530289497445
1200401,-68.37199190812699,-10.06513359082879
1200427,-73.22178495112504,-7.843879554950015
1200435,-70.39649771754931,-9.41056187951093
1200450,-67.4285299590623,-9.998771367000497
1200500,-69.38099181174267,-9.770608543924142
1200609,-71.44493806246835,-8.239566816904018
1200708,-68.50384971973509,-10.576062586017684
1200807,-67.69720537347312,-9.62995609841018
1300029,-65.32311443900309,-3.693452482166174
1300060,-68.2879710709551,-3.4184198153387775
1300086,-61.718633420006356,-3.503194880295058
1300102,-62.094678110877325,-4.198498274440759
1300144,-59.43246113372086,-7.7601964124152785
1300201,-71.74144845536969,-5.710934028218499
1300300,-59.52551942729786,-3.786757195368139
1300409,-63.434722552929806,-0.46482852856930607
1300508,-57.172054717427685,-3.1323552850975216
1300607,-70.27386714734945,-5.4225687600287795
1300631,-61.804575397766335,-4.605970699673557
1300680,-57.67043199139853,-3.1377165202142714
1300706,-68.04693818500549,-8.773044415152308
1300805,-59.53500348719377,-4.9576295360100335
1300839,-61.87688637634826,-3.0826979963781596
1300904,-64.0618080399004,-7.301900526148518
1301001,-67.33757217079696,-5.118659359882936
1301100,-60.1839567218824,-3.7716124192788785
1301159,-59.59970525544905,-3.285820866135806
1301209,-64.12491902235372,-4.43536597832565
1301308,-62.97366687537403,-3.2887501316792425
1301407,-70.21793281520496,-7.021965679988833
1301506,-70.05565506170433,-7.5733226082867215
1301605,-66.3584332982365,-2.4908733635962563
1301654,-72.84485065799463,-7.230298643415971
1301704,-62.48666087080953,-7.361030394194913
1301803,-71.41254469966054,-7.179916484838543
1301852,-60.482742341641405,-3.094845069080953
1301902,-58.77635394532235,-3.173101519373092
1301951,-68.11341586669396,-6.68281016343183
1302009,-58.614379365927675,-2.4973411198267326
1302108,-68.32086368178624,-1.6972688323984957
1302207,-66.30769014374022,-3.5237668356954948
1302306,-68.40640336929083,-4.715855919121423
1302405,-65.81196356051458,-8.3750559791821
1302504,-60.95829349904171,-3.2909838519808265
1302553,-60.697708530267576,-3.7794770610778787
1302603,-60.25924785051674,-2.6267903109155646
1302702,-61.446891320376906,-6.461115161288101
1302801,-65.04129327625981,-2.4249929459852564
1302900,-58.06174373965875,-4.985942443746183
